Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
midnight-oud,Midnight Oud,"<p>A masterful composition that unveils the mystique of aged oud wood, harvested from century-old Aquilaria trees. Midnight Oud opens with a whisper of saffron and Bulgarian rose, before descending into the depths of Cambodian oud, enriched by amber and a hint of smoky incense. This is not merely a fragrance—it's an invitation into a world of quiet luxury.</p><p><strong>Top Notes:</strong> Saffron, Bulgarian Rose, Pink Pepper<br><strong>Heart Notes:</strong> Cambodian Oud, Incense, Orris<br><strong>Base Notes:</strong> Amber, Sandalwood, Musk</p>",Basenotes Atelier,Fragrance,"oud, woody, evening, unisex, bestseller",TRUE,Size,8ml,BN-001,295.00,,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=800,active
velvet-noir,Velvet Noir,"<p>Inspired by the soft darkness of a velvet curtain in a Parisian theatre, Velvet Noir wraps you in the supple warmth of Italian leather, softened by iris butter and tonka bean. A composition of refined decadence that whispers rather than shouts—for those who understand that true luxury needs no announcement.</p><p><strong>Top Notes:</strong> Bergamot, Black Pepper, Cardamom<br><strong>Heart Notes:</strong> Iris Butter, Violet Leaf, Leather<br><strong>Base Notes:</strong> Tonka Bean, Benzoin, Cashmere Musk</p>",Basenotes Atelier,Fragrance,"leather, oriental, evening, unisex, new",TRUE,Size,8ml,BN-002,275.00,,TRUE,TRUE,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=800,active
garden-of-hesperides,Garden of Hesperides,"<p>A sun-drenched journey through the mythical garden where golden apples grew. This luminous composition captures the effervescence of Italian bergamot and Sicilian lemon, grounded by the earthy elegance of vetiver and white cedar. Fresh yet sophisticated—a fragrance that transforms the everyday into the extraordinary.</p><p><strong>Top Notes:</strong> Sicilian Lemon, Italian Bergamot, Grapefruit<br><strong>Heart Notes:</strong> Neroli, Orange Blossom, Petitgrain<br><strong>Base Notes:</strong> Vetiver, White Cedar, Ambrette Seed</p>",Basenotes Atelier,Fragrance,"citrus, fresh, daytime, unisex, summer",TRUE,Size,8ml,BN-003,245.00,,TRUE,TRUE,https://images.unsplash.com/photo-1595425970377-c9703cf48b6d?w=800,active
rose-immortelle,Rose Immortelle,"<p>An ode to the eternal rose, reimagined through the lens of modern perfumery. We've woven together the velvety petals of Turkish rose absolute with the honeyed warmth of immortelle flowers, creating a scent that defies time. Neither vintage nor contemporary—Rose Immortelle exists in its own beautiful dimension.</p><p><strong>Top Notes:</strong> Pink Pepper, Pear, Raspberry<br><strong>Heart Notes:</strong> Turkish Rose Absolute, Immortelle, Peony<br><strong>Base Notes:</strong> Patchouli, Vanilla, White Musk</p>",Basenotes Atelier,Fragrance,"floral, rose, romantic, feminine, exclusive",TRUE,Size,8ml,BN-004,285.00,,TRUE,TRUE,https://images.unsplash.com/photo-1588405748880-12d1d2a59f75?w=800,active
tobacco-honey,Tobacco & Honey,"<p>A study in contrasts—the rugged warmth of Virginia tobacco leaf meets the golden sweetness of wild honey. Enriched with rum absolute and a whisper of dried fruits, this composition evokes evenings by the fire in a leather-bound library. Sophisticated, addictive, unforgettable.</p><p><strong>Top Notes:</strong> Honey, Dried Fruits, Cinnamon<br><strong>Heart Notes:</strong> Virginia Tobacco, Rum Absolute, Jasmine<br><strong>Base Notes:</strong> Vanilla, Benzoin, Guaiac Wood</p>",Basenotes Atelier,Fragrance,"tobacco, sweet, evening, masculine, bestseller",TRUE,Size,8ml,BN-005,265.00,,TRUE,TRUE,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?w=800,active
white-suede,White Suede,"<p>The essence of understated elegance. White Suede captures the texture of the finest calfskin suede, softened by clouds of white musk and the subtle sweetness of heliotrope. A fragrance of quiet confidence that leaves an impression long after you've left the room.</p><p><strong>Top Notes:</strong> Aldehydes, Lily of the Valley, Violet<br><strong>Heart Notes:</strong> White Suede, Heliotrope, Rose<br><strong>Base Notes:</strong> White Musk, Cashmeran, Sandalwood</p>",Basenotes Atelier,Fragrance,"musk, clean, daytime, feminine, elegant",TRUE,Size,8ml,BN-006,255.00,,TRUE,TRUE,https://images.unsplash.com/photo-1541643600914-78b084683601?w=800,active
bois-sauvage,Bois Sauvage,"<p>Deep in an ancient forest where sunlight filters through the canopy, Bois Sauvage was born. This composition layers precious woods—sandalwood from Mysore, Atlas cedar, and wild oud—with the green freshness of crushed ferns and juniper berries. Untamed, noble, and profoundly masculine.</p><p><strong>Top Notes:</strong> Juniper Berries, Pine Needles, Bergamot<br><strong>Heart Notes:</strong> Fern, Geranium, Labdanum<br><strong>Base Notes:</strong> Mysore Sandalwood, Atlas Cedar, Wild Oud</p>",Basenotes Atelier,Fragrance,"woody, aromatic, daytime, masculine, nature",TRUE,Size,8ml,BN-007,280.00,,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?w=800,active
ambre-celeste,Ambre Céleste,"<p>Amber in its most celestial form. We've elevated this ancient ingredient with precious resins from Oman and Madagascar vanilla, then illuminated it with saffron and a breath of incense smoke. Ambre Céleste doesn't just sit on the skin—it becomes one with it, creating a scent uniquely yours.</p><p><strong>Top Notes:</strong> Saffron, Cardamom, Cinnamon<br><strong>Heart Notes:</strong> Amber, Frankincense, Myrrh<br><strong>Base Notes:</strong> Madagascar Vanilla, Labdanum, Benzoin</p>",Basenotes Atelier,Fragrance,"amber, oriental, evening, unisex, warm",TRUE,Size,8ml,BN-008,290.00,,TRUE,TRUE,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?w=800,active
jasmine-dreams,Jasmine Dreams,"<p>Captured at midnight when jasmine reveals its most intoxicating facets, this fragrance is pure seduction. Indian jasmine sambac intertwines with tuberose and ylang-ylang, supported by a bed of creamy sandalwood and skin musks. For the woman who knows the power of a beautiful scent.</p><p><strong>Top Notes:</strong> Neroli, Green Notes, Pear<br><strong>Heart Notes:</strong> Indian Jasmine Sambac, Tuberose, Ylang-Ylang<br><strong>Base Notes:</strong> Sandalwood, Skin Musk, Cedarwood</p>",Basenotes Atelier,Fragrance,"floral, jasmine, romantic, feminine, night",TRUE,Size,8ml,BN-009,270.00,,TRUE,TRUE,https://images.unsplash.com/photo-1595535873420-a599195b3f4a?w=800,active
nomads-path,Nomad's Path,"<p>A fragrance that tells the story of ancient trade routes—from the spice markets of Marrakech to the silk roads of the East. Nomad's Path weaves together rare spices, precious resins, and animalic musks into a tapestry of scent that is both primitive and refined. For the adventurer whose journey never ends.</p><p><strong>Top Notes:</strong> Black Pepper, Cumin, Ginger<br><strong>Heart Notes:</strong> Saffron, Rose, Cinnamon Bark<br><strong>Base Notes:</strong> Oud, Civet, Sandalwood, Leather</p>",Basenotes Atelier,Fragrance,"spicy, exotic, evening, unisex, exclusive, limited",TRUE,Size,8ml,BN-010,300.00,,TRUE,TRUE,https://images.unsplash.com/photo-1587017539504-67cfbddac569?w=800,active
